athlete_id,minutes_played,distance_km,sprint_distance_m,high_intensity_run_m,max_speed_kmh,accelerations,decelerations,work_load_index,heart_rate_avg,heart_rate_max
1,90,11.2,890,1620,34.8,24,20,92.0,162,191
2,90,10.8,810,1480,33.6,22,18,87.0,158,188
3,85,8.6,420,980,28.1,18,15,58.0,145,175
4,90,10.1,670,1350,31.2,21,19,80.0,155,186
5,90,10.4,950,1700,32.4,36,28,84.0,160,190
6,78,9.8,720,1410,30.9,20,17,74.0,152,182
7,90,5.1,180,320,22.3,8,7,45.0,135,168
8,90,9.6,590,1240,29.8,17,15,78.0,150,180
9,90,10.2,780,1510,32.1,23,20,83.0,157,187
10,82,9.4,640,1290,30.5,19,16,76.0,151,181
11,90,10.9,840,1550,33.9,25,21,88.0,161,192
12,75,8.9,520,1100,29.2,16,13,71.0,148,178
13,90,11.4,920,1680,35.1,26,22,94.0,164,193
14,88,10.0,700,1380,31.8,20,18,81.0,156,185
15,90,9.7,660,1310,30.7,19,16,79.0,153,183
